customer_id,name,customer_pin,car_number,policy_no
CUST-1001,Garima Kapoor,6364,TN 77 2876,POL-51541472
CUST-1002,Riya Joshi,252,AP 14 4076,POL-51036885
CUST-1003,Vihaan Hegde,5703,PB 11 6600,POL-35687050
CUST-1004,Vihaan Sarkar,4488,WB 71 3009,POL-58735357
CUST-1005,Shaurya Singh,204,MP 37 4554,POL-50332875
CUST-1006,Kiran Menon,1807,RJ 79 8914,POL-21528855
CUST-1007,Myra Hegde,4277,TN 83 2969,POL-80611847
CUST-1008,Chhavi Banerjee,5027,GJ 56 6916,POL-35889695
CUST-1009,Raghav Goswami,7883,MP 03 1188,POL-72502140
CUST-1010,Pranav Shetty,571,GJ 25 9486,POL-50493450
CUST-1011,Dhruv Dutta,8541,WB 31 9424,POL-56182939
CUST-1012,Kunwar Ojha,9394,KA 73 8850,POL-94359633
CUST-1013,Ayush Vohra,3029,KL 02 7076,POL-49799864
CUST-1014,Garima Parekh,2730,MP 87 0233,POL-84170314
CUST-1015,Kartik Tyagi,3720,KL 50 5007,POL-47518180
CUST-1016,Dhruv Chauhan,1097,GJ 07 3611,POL-62310548
CUST-1017,Anshika Gupta,7182,HR 92 7089,POL-82106881
CUST-1018,Tejas Mishra,422,UP 78 8949,POL-24096980
CUST-1019,Kabir Shukla,392,TS 11 0479,POL-30752772
CUST-1020,Pranav Singh,8800,RJ 38 0395,POL-97547023
CUST-1021,Avni Mukherjee,8210,GJ 96 4904,POL-30455713
CUST-1022,Aavya Luthra,907,RJ 20 2168,POL-93981160
CUST-1023,Jatin Sarin,267,AP 39 5434,POL-80568907
CUST-1024,Kavya Saini,8475,TN 76 3385,POL-37208739
CUST-1025,Madhav Modi,3529,PB 84 6413,POL-34436075
CUST-1026,Nehal Pillai,149,HR 33 8236,POL-10713379
CUST-1027,Yuvraj Srivastava,2508,KL 45 6969,POL-73724955
CUST-1028,Akansha Ranganathan,5297,UP 22 2444,POL-68567431
CUST-1029,Avni Khurana,7937,TS 03 6529,POL-09731607
CUST-1030,Aadya Goswami,4775,WB 68 4697,POL-78266984
CUST-1031,Nidhi Kulkarni,1090,UP 99 6055,POL-84079460
CUST-1032,Kabir Ranganathan,8133,MH 97 5241,POL-11373839
CUST-1033,Kriti Grover,9858,PB 07 3504,POL-41482380
CUST-1034,Aashna Nair,8672,MP 12 9552,POL-71007894
CUST-1035,Advik Sodhi,9779,RJ 87 7439,POL-39540819
CUST-1036,Komal Thakur,3258,RJ 27 6301,POL-65581649
CUST-1037,Nikhil Gill,4289,TN 07 7561,POL-25882975
CUST-1038,Daksh Saluja,9161,WB 72 1647,POL-05831782
CUST-1039,Varun Yadav,9795,PB 47 0100,POL-05808899
CUST-1040,Diya Venkatesh,7493,AP 87 6716,POL-21863068
CUST-1041,Mansi Dubey,8610,HR 88 4099,POL-74157257
CUST-1042,Myra Yadav,308,RJ 35 4612,POL-56256063
CUST-1043,Riya Menon,4522,KL 16 9788,POL-01963011
CUST-1044,Siddharth Sarin,8750,AP 07 1252,POL-89263837
CUST-1045,Ananya Verma,1846,HR 35 5942,POL-45167945
CUST-1046,Daksh Malik,6055,HR 25 9522,POL-04976875
CUST-1047,Kabir Ojha,9925,TN 57 3222,POL-67396018
CUST-1048,Kriti Patil,5850,KL 57 0240,POL-08906310
CUST-1049,Sai Shukla,3928,AP 80 2848,POL-31310487
CUST-1050,Archana Pathak,6517,GJ 74 7324,POL-36848233
CUST-1051,Aniket Ghosh,3618,MP 69 1967,POL-86076148
CUST-1052,Pari Sethi,959,GJ 72 5293,POL-17359923
CUST-1053,Divya Goswami,2302,MP 68 5293,POL-51392167
CUST-1054,Aashna Gupta,9470,WB 54 5449,POL-70083142
CUST-1055,Gaurav Banerjee,7598,AP 85 8849,POL-16009733
CUST-1056,Nakul Gill,4069,MH 55 8138,POL-64469835
CUST-1057,Saanvi Saini,223,WB 37 3528,POL-61142632
CUST-1058,Aavya Yadav,3726,TN 92 3940,POL-36640392
CUST-1059,Komal Goel,5578,TN 77 0512,POL-26272282
CUST-1060,Janvi Joshi,2185,MP 44 6882,POL-69181303
CUST-1061,Ira Bhasin,6102,PB 84 4643,POL-40718969
CUST-1062,Kavya Tyagi,6716,MP 98 1661,POL-45512509
CUST-1063,Ananya Tyagi,4213,HR 04 5408,POL-43291310
CUST-1064,Aarav Jha,2958,DL 69 9522,POL-07791375
CUST-1065,Megha Murthy,7075,MH 21 6603,POL-84661347
CUST-1066,Khushi Mukherjee,304,DL 98 8033,POL-09844123
CUST-1067,Amrita Mishra,9911,WB 87 4869,POL-15496682
CUST-1068,Aryan Khanna,2399,RJ 89 1494,POL-56420463
CUST-1069,Niharika Sarkar,3396,TN 73 3978,POL-31467833
CUST-1070,Gaurav Pandey,8643,DL 67 3307,POL-48511122
CUST-1071,Megha Jha,2335,TN 22 7401,POL-05849902
CUST-1072,Abhinav Zutshi,3263,WB 02 0084,POL-55071155
CUST-1073,Varun Singh,3674,MH 20 4275,POL-32078324
CUST-1074,Mayank Trivedi,6145,MP 04 8833,POL-19357133
CUST-1075,Nikhil Chawla,8037,MH 53 8582,POL-70996299
CUST-1076,Gayatri Rai,5499,HR 90 6506,POL-99823193
CUST-1077,Vihaan Kapoor,703,AP 89 3498,POL-18559704
CUST-1078,Myra Soni,2768,PB 30 6437,POL-21702215
CUST-1079,Shreyas Srivastava,4836,TN 29 1405,POL-11506327
CUST-1080,Jatin Deshmukh,1238,TN 07 8665,POL-21144370
CUST-1081,Ansh Khurana,6484,RJ 56 9701,POL-67103791
CUST-1082,Nakul Venkatesh,677,TN 22 4918,POL-63746782
CUST-1083,Yuvraj Grover,5324,RJ 22 0133,POL-59140566
CUST-1084,Prisha Reddy,3424,KL 83 6031,POL-34191906
CUST-1085,Muskan Pillai,801,TN 96 6425,POL-97550627
CUST-1086,Laksh Shah,5701,AP 89 7954,POL-74163929
CUST-1087,Naman Pal,177,TN 84 4308,POL-09301405
CUST-1088,Varun Parekh,9047,TN 43 3303,POL-94611098
CUST-1089,Ananya Verma,2850,WB 87 8740,POL-14982515
CUST-1090,Vihaan Deshmukh,4356,HR 86 8426,POL-00150244
CUST-1091,Tejas Mehta,7748,KA 72 9030,POL-71487139
CUST-1092,Sahil Yadav,5726,UP 09 8442,POL-39017832
CUST-1093,Niharika Menon,4268,TN 63 2150,POL-78666257
CUST-1094,Reyansh Sarkar,5753,KL 46 9801,POL-23850226
CUST-1095,Riya Pal,2880,UP 18 4857,POL-75039481
CUST-1096,Latika Puri,6244,MH 33 7776,POL-96153191
CUST-1097,Tanmay Pandey,2566,TS 05 7402,POL-86286922
CUST-1098,Garima Chawla,5086,HR 85 8082,POL-62593646
CUST-1099,Saanvi Choudhury,4665,MH 39 5772,POL-49943327
CUST-1100,Aadya Mahajan,7415,MP 18 8041,POL-33499005
CUST-1101,Komal Sharma,9282,RJ 31 6074,POL-13491989
CUST-1102,Akansha Pal,5963,MP 59 8555,POL-34993587
CUST-1103,Nidhi Shukla,8539,AP 46 3840,POL-41802377
CUST-1104,Vedant Agarwal,3401,MH 38 4379,POL-06199754
CUST-1105,Shaurya Saini,644,HR 12 1311,POL-01634035
CUST-1106,Vivaan Chatterjee,1494,MH 36 5448,POL-84508605
CUST-1107,Utkarsh Kulkarni,4847,MP 90 9283,POL-01636995
CUST-1108,Anshika Venkatesh,3773,TN 43 3381,POL-87431163
CUST-1109,Riya Pal,8393,MH 06 0119,POL-93379403
CUST-1110,Daksh Ojha,4734,MH 31 1712,POL-09361356
CUST-1111,Navya Mehta,4931,TS 86 2923,POL-08232014
CUST-1112,Advik Saluja,5109,MH 60 6663,POL-85971255
CUST-1113,Ishika Ghosh,8059,KL 49 2590,POL-12884905
CUST-1114,Ansh Bhatt,8661,HR 90 4589,POL-60721076
CUST-1115,Kajal Kapoor,3101,KL 29 5233,POL-22703442
CUST-1116,Nidhi Kohli,3798,WB 86 4161,POL-06952784
CUST-1117,Mayank Joshi,8334,DL 44 5061,POL-77230596
CUST-1118,Raghav Malhotra,7947,TN 60 2349,POL-90433911
CUST-1119,Kiran Goel,349,MH 65 2875,POL-39629905
CUST-1120,Om Saini,2588,HR 06 3873,POL-85195124
CUST-1121,Gayatri Kashyap,8052,KA 63 1760,POL-44048811
CUST-1122,Myra Modi,4046,KL 15 8821,POL-00437696
CUST-1123,Komal Mukherjee,414,GJ 64 1678,POL-81774514
CUST-1124,Kartik Subramanian,926,DL 64 2104,POL-82462451
CUST-1125,Naman Yadav,2177,MH 45 7673,POL-89725588
CUST-1126,Navya Pal,6117,RJ 45 5134,POL-53841593
CUST-1127,Aniket Patil,3477,RJ 33 5084,POL-92087801
CUST-1128,Nishant Chawla,8550,KA 90 1505,POL-03951966
CUST-1129,Ankur Goswami,8005,DL 03 9643,POL-69655856
CUST-1130,Anjali Verma,9480,PB 46 7953,POL-39974911
CUST-1131,Advik Hegde,7228,KA 19 7895,POL-83481435
CUST-1132,Janvi Shukla,328,RJ 07 9044,POL-82771788
CUST-1133,Om Menon,2532,RJ 92 3665,POL-18392693
CUST-1134,Kartik Grover,3182,KA 83 1547,POL-70474020
CUST-1135,Pari Saini,2010,PB 06 4947,POL-53444326
CUST-1136,Kunwar Sodhi,3450,PB 86 4326,POL-07448725
CUST-1137,Madhav Trivedi,2200,WB 91 3353,POL-21241128
CUST-1138,Prisha Chawla,8832,MP 81 4755,POL-76248591
CUST-1139,Kiran Kulkarni,2475,RJ 01 8871,POL-68549731
CUST-1140,Laksh Patel,346,TS 54 7989,POL-99114137
CUST-1141,Reyansh Acharya,9633,AP 76 8579,POL-09352219
CUST-1142,Vivaan Gill,273,PB 56 6310,POL-61305864
CUST-1143,Aadya Yadav,1836,RJ 55 3680,POL-28513383
CUST-1144,Chhavi Soni,6490,TN 65 2553,POL-29538392
CUST-1145,Siddharth Goel,7408,DL 89 1787,POL-24975872
CUST-1146,Deepika Jain,3771,KL 85 8693,POL-20100862
CUST-1147,Aadya Pandey,5129,TN 86 5533,POL-01418585
CUST-1148,Aarav Mehra,5483,HR 56 9823,POL-04335672
CUST-1149,Madhav Chauhan,2659,AP 69 0659,POL-05985500
CUST-1150,Saanvi Walia,1416,TN 88 4771,POL-75087534
CUST-1151,Ansh Menon,886,UP 59 1681,POL-68733809
CUST-1152,Aanya Gill,5764,MH 28 8474,POL-01836707
CUST-1153,Muskan Sethi,8473,WB 67 6315,POL-63696253
CUST-1154,Kiran Malik,8242,PB 73 9288,POL-88121007
CUST-1155,Aadya Soni,8243,RJ 09 8821,POL-56755270
CUST-1156,Jatin Chatterjee,3831,RJ 46 6072,POL-56970937
CUST-1157,Advik Wadhwa,6474,DL 61 2826,POL-26765896
CUST-1158,Varun Rajput,9600,HR 87 1156,POL-88267732
CUST-1159,Shreyas Tyagi,1207,RJ 38 4829,POL-65102535
CUST-1160,Om Mehra,4386,TS 57 7068,POL-51708049
CUST-1161,Abhinav Jha,7465,DL 96 5673,POL-92220227
CUST-1162,Janvi Malik,1395,MP 44 2383,POL-58514569
CUST-1163,Naman Kapoor,7992,KL 60 5556,POL-20635768
